domain,ip,hop,hop_ip,raw_line
google.com,142.251.14.101,1,*,"1  * * *"
google.com,142.251.14.101,2,*,"2  * * *"
google.com,142.251.14.101,3,*,"3  * * *"
google.com,142.251.14.101,4,*,"4  * * *"
google.com,142.251.14.101,5,*,"5  * * *"
google.com,142.251.14.139,1,*,"1  * * *"
google.com,142.251.14.139,2,*,"2  * * *"
google.com,142.251.14.139,3,*,"3  * * *"
google.com,142.251.14.139,4,*,"4  * * *"
google.com,142.251.14.139,5,*,"5  * * *"
google.com,142.251.14.102,1,*,"1  * * *"
google.com,142.251.14.102,2,*,"2  * * *"
google.com,142.251.14.102,3,*,"3  * * *"
google.com,142.251.14.102,4,*,"4  * * *"
google.com,142.251.14.102,5,*,"5  * * *"
google.com,142.251.14.138,1,*,"1  * * *"
google.com,142.251.14.138,2,*,"2  * * *"
google.com,142.251.14.138,3,*,"3  * * *"
google.com,142.251.14.138,4,*,"4  * * *"
google.com,142.251.14.138,5,*,"5  * * *"
google.com,142.251.14.100,1,*,"1  * * *"
google.com,142.251.14.100,2,*,"2  * * *"
google.com,142.251.14.100,3,*,"3  * * *"
google.com,142.251.14.100,4,*,"4  * * *"
google.com,142.251.14.100,5,*,"5  * * *"
google.com,142.251.14.113,1,*,"1  * * *"
google.com,142.251.14.113,2,*,"2  * * *"
google.com,142.251.14.113,3,*,"3  * * *"
google.com,142.251.14.113,4,*,"4  * * *"
google.com,142.251.14.113,5,*,"5  * * *"
github.com,140.82.121.3,1,*,"1  * * *"
github.com,140.82.121.3,2,*,"2  * * *"
github.com,140.82.121.3,3,*,"3  * * *"
github.com,140.82.121.3,4,*,"4  * * *"
github.com,140.82.121.3,5,*,"5  * * *"
vk.com,87.240.137.164,1,*,"1  * * *"
vk.com,87.240.137.164,2,*,"2  * * *"
vk.com,87.240.137.164,3,*,"3  * * *"
vk.com,87.240.137.164,4,*,"4  * * *"
vk.com,87.240.137.164,5,*,"5  * * *"
vk.com,87.240.132.72,1,*,"1  * * *"
vk.com,87.240.132.72,2,*,"2  * * *"
vk.com,87.240.132.72,3,*,"3  * * *"
vk.com,87.240.132.72,4,*,"4  * * *"
vk.com,87.240.132.72,5,*,"5  * * *"
vk.com,87.240.129.133,1,*,"1  * * *"
vk.com,87.240.129.133,2,*,"2  * * *"
vk.com,87.240.129.133,3,*,"3  * * *"
vk.com,87.240.129.133,4,*,"4  * * *"
vk.com,87.240.129.133,5,*,"5  * * *"
vk.com,87.240.132.67,1,*,"1  * * *"
vk.com,87.240.132.67,2,*,"2  * * *"
vk.com,87.240.132.67,3,*,"3  * * *"
vk.com,87.240.132.67,4,*,"4  * * *"
vk.com,87.240.132.67,5,*,"5  * * *"
vk.com,87.240.132.78,1,*,"1  * * *"
vk.com,87.240.132.78,2,*,"2  * * *"
vk.com,87.240.132.78,3,*,"3  * * *"
vk.com,87.240.132.78,4,*,"4  * * *"
vk.com,87.240.132.78,5,*,"5  * * *"
vk.com,93.186.225.194,1,*,"1  * * *"
vk.com,93.186.225.194,2,*,"2  * * *"
vk.com,93.186.225.194,3,*,"3  * * *"
vk.com,93.186.225.194,4,*,"4  * * *"
vk.com,93.186.225.194,5,*,"5  * * *"
ozon.ru,185.73.193.68,1,*,"1  * * *"
ozon.ru,185.73.193.68,2,*,"2  * * *"
ozon.ru,185.73.193.68,3,*,"3  * * *"
ozon.ru,185.73.193.68,4,*,"4  * * *"
ozon.ru,185.73.193.68,5,*,"5  * * *"
ozon.ru,185.73.194.82,1,*,"1  * * *"
ozon.ru,185.73.194.82,2,*,"2  * * *"
ozon.ru,185.73.194.82,3,*,"3  * * *"
ozon.ru,185.73.194.82,4,*,"4  * * *"
ozon.ru,185.73.194.82,5,*,"5  * * *"
wildberries.ru,185.62.202.2,1,*,"1  * * *"
wildberries.ru,185.62.202.2,2,*,"2  * * *"
wildberries.ru,185.62.202.2,3,*,"3  * * *"
wildberries.ru,185.62.202.2,4,*,"4  * * *"
wildberries.ru,185.62.202.2,5,*,"5  * * *"
